,letter,character
0,A,Mrs. Abbott
1,A,Abbott family
2,A,Hannah Abbott
3,A,Abel Treetops
4,A,Euan Abercrombie
5,A,Aberforth Dumbledore
6,A,Abernathy
7,A,Abraham Peasegood
8,A,Abraham Potter
9,A,Abraxas Malfoy
10,A,Achilles Tolliver
11,A,Stewart Ackerley
12,A,Adalbert Waffling
13,A,Adrian Pucey
14,A,Adrian Tutley
15,A,three African wizards
16,A,Agatha Chubb
17,A,Agatha Timms
18,A,Agilbert Fontaine
19,A,Agnes
20,A,Cornelius Agrippa
21,A,Aidan Kiely
22,A,Aidan Lynch
23,A,Alasdair Maddock
24,A,Alastor Gumboil
25,A,Mad-Eye Moody
26,A,Albanian peasant
27,A,Alberic Grunnion
28,A,Alberta Toothill
29,A,Albert Boot
30,A,Albert Jorkins
31,A,Albert Runcorn
32,A,Albert Tillyman
33,A,Albus Dumbledore
34,A,Albus Potter
35,A,Alderton
36,A,Arkie Alderton
37,A,Alecto Carrow
38,A,Alfred Cattermole
39,A,Alguff the Awful
40,A,Ali Bashir
41,A,Alice Longbottom
42,A,Alicia Spinnet
43,A,Aliko Okoye
44,A,Raul Almeida
45,A,Almerick Sawbridge
46,A,Alejandra Alonso
47,A,Alphard Black
48,A,Altheda
49,A,Amarillo Lestoat
50,A,Amata
51,A,Ambrosius Flume
52,A,Amelia Susan Bones
53,A,Amos Diggory
54,A,Amy Benson
55,A,Amycus Carrow
56,A,P.C. Anderson
57,A,Andorran Minister for Magic
58,A,Andrew Kirke
59,A,Andromeda Tonks
60,A,Andros the Invincible
61,A,Angelina Johnson
62,A,Angelus Peel
63,A,Angus Buchanan
64,A,Angus Campbell
65,A,Angus Fleet
66,A,Angus McMangus
67,A,Annis Black
68,A,Anonymous
69,A,Anthony Goldstein
70,A,Antioch Peverell
71,A,Antonin Dolohov
72,A,Antonio
73,A,Apolline Delacour
74,A,Apollyon Pringle
75,A,Mrs. Figg
76,A,Aragog
77,A,Araminta Meliflua
78,A,Archer Evermonde
79,A,Archibald Alderton
80,A,Archie
81,A,Archie Aymslowe
82,A,Arcturus Black (1884)
83,A,Arcturus Black (1901)
84,A,Arcus
85,A,Argus Filch
86,A,Argus Pyrites
87,A,Ariana Dumbledore
88,A,Aristotle Twelvetrees
89,A,Arkie Philpott
90,A,Armand Malfoy
91,A,Armando Dippet
92,A,Armenian warlock
93,A,Arnold
94,A,Arnold Guzman
95,A,Arnie Peasegood
96,A,Arnulf Moe
97,A,Arsenia Gonzales
98,A,Arsenius Jigger
99,A,Artemisia Lufkin
100,A,Artemius Lawson
101,A,Arthur's contact at the Floo Regulation Panel
102,A,Arthur Weasley
103,A,Arturo Cephalopos
104,A,Asha
105,A,Astoria Greengrass
106,A,Over-Attentive Wizard
107,A,Bertram Aubrey
108,A,Audrey Weasley
109,A,"Augusta ""Gran"" Longbottom"
110,A,Augustus Pye
111,A,Augustus Rookwood
112,A,Augustus Worme
113,A,Auntie Muriel
114,A,Aunt Marge Dursley
115,A,Aurelius Dumbledore
116,A,Professor Sinistra
117,A,Avery
118,A,Avery family
119,B,Babajide Akingbade
120,B,Babayaga
121,B,Babbitty Rabbitty
122,B,Bagman Sr.
123,B,Bagman family
124,B,Ludo Bagman
125,B,Otto Bagman
126,B,Millicent Bagnold
127,B,Bathilda Bagshot
128,B,Kquewanda Bailey
129,B,Ballyfumble Stranger
130,B,Bandon Banshee
131,B,Bane
132,B,Heathcote Barbary
133,B,José Barboza
134,B,Bartholomew Barebone
135,B,Chastity Barebone
136,B,Credence Barebone
137,B,Barebone Family
138,B,Mary Lou Barebone
139,B,Modesty Barebone
140,B,Lucas Bargeworthy
141,B,Barker
142,B,Barnabas the Barmy
143,B,Barnabas Cuffe
144,B,Barnabas Deverill
145,B,Barnabus Finkley
146,B,Barnaby Snell
147,B,Cousin Barny
148,B,Barry Ryan
149,B,Barty Crouch Jr.
150,B,Barty Crouch Sr.
151,B,Baruffio
152,B,Ali Bashir
153,B,Basil
154,B,Basil Flack
155,B,Basil Horton
156,B,Bathsheda Babbling
157,B,Barny the Fruitbat
158,B,Charlie Baverstock
159,B,Beatrix Bloxam
160,B,Beaumont Marjoribanks
161,B,several Beauxbatons students
162,B,Beedle the Bard
163,B,Herbert Beery
164,B,Mr. Belby
165,B,Humphrey Belcher
166,B,Katie Bell
167,B,Brother Benedict
168,B,Benedita Dourado
169,B,Benjy Fenwick
170,B,Benjy Williams
171,B,Amy Benson
172,B,Bernadette
173,B,Bernie Pillsworth
174,B,Bertha Jorkins
175,B,Bertha Jorkins' second cousin
176,B,Berthilde Roche
177,B,Bertie Bott
178,B,Bertie Higgs
179,B,Bertram Aubrey
180,B,Bertrand de Pensées-Profondes
181,B,BF
182,B,Bill's penfriend from Brazil
183,B,Bill Weasley
184,B,Billy Stubbs
185,B,Mr. Bingley
186,B,Binky
187,B,Professor Binns
188,B,Brevis Birch
189,B,Dennis Bishop
190,B,Alphard Black
191,B,Annis Black
192,B,Arcturus Black (1884)
193,B,Arcturus Black (1901)
194,B,Bellatrix Lestrange
195,B,Belvina Black
196,B,Callidora Black
197,B,Cassiopeia Black
198,B,Charis Black
199,B,Cygnus Black
200,B,Cygnus Black (1889)
201,B,Black family
202,B,Iola Black
203,B,Marius Black
204,B,Orion Black
205,B,Phineas Black
206,B,Pollux Black
207,B,Dorea Black Potter
208,B,Regulus Black
209,B,Sirius Black
210,B,Cedrella Black Weasley
211,B,Blagdon Blay
212,B,Blaise Zabini
213,B,Blaise Zabini's mother
214,B,Susan Blancheflower
215,B,Balfour Blane
216,B,Blenheim Stalk
217,B,Barnabus Blenkinsop
218,B,Timothy Blenkinsop
219,B,Bletchley
220,B,Miles Bletchley
221,B,old bloke picking his nose
222,B,Jean-Baptiste Bloncourt
223,B,The Bloody Baron
224,B,Blodwyn Bludd
225,B,Bludgeoning Boggart of Old London Town
226,B,"Bob, Bill, and Barnaby Ollerton"
227,B,Bobbin family
228,B,Melinda Bobbin
229,B,Bob Hitchens
230,B,Bob Ogden
231,B,Broderick Bode
232,B,Old Boggle of Canterbury
233,B,Bogomil Levski
234,B,Bogrod
235,B,Sylvian Boigny
236,B,Bole
237,B,Hector Bolobolo
238,B,Bonawentura Wójcik
239,B,Bones family
240,B,Mr. and Mrs. Bones
241,B,Amelia Susan Bones
242,B,Susan Bones
243,B,Madame Bonhabille
244,B,Brother Boniface
245,B,Mr. Boot
246,B,Mrs. Boot
247,B,Albert Boot
248,B,Chadwick Boot
249,B,Gladys Boothby
250,B,Webster Boot
251,B,Libatius Borage
252,B,Mr. Borgin
253,B,Borgin
254,B,Boris the Bewildered
255,B,Boris Vulchanov
256,B,Craig Bowker Jr.
257,B,Bowman Wright
258,B,Bozo
259,B,Bradley
260,B,Barberus Bragge
261,B,Bragging Young Wizard
262,B,Betty Braithwaite
263,B,Bran the Bloodthirsty
264,B,Rudolf Brand
265,B,Maximus Brankovitch III
