,source,target,value
0,Dudley,Dursley,55
1,Dudley,Harry,496
2,Dursley,Harry,62
3,Dudley,second,22
4,Dursley,second,6
5,Harry,Harvey,3
6,Harold,Harvey,4
7,Dursley,Harvey,1
8,Dursley,Harold,3
9,Dursley,Muggle,1
10,Jim,Ted,5
11,Dursley,Ted,1
12,Dursley,two,12
13,Petunia,two,1
14,Dursley,Petunia,11
15,Harry,two,190
16,Albus,Harry,26
17,Dumbledore,Dursley,5
18,Dumbledore,Harry,301
19,Dumbledore,McGonagall,97
20,Harry,McGonagall,242
21,Dedalus,Dumbledore,4
22,Harry,Muggle,64
23,Dumbledore,Muggle,2
24,McGonagall,Muggle,4
25,McGonagall,two,16
26,Dumbledore,two,8
27,Dumbledore,James,6
28,Dumbledore,Lily,1
29,James,Lily,11
30,Albus,McGonagall,1
31,Albus,Dumbledore,9
32,Hagrid,Harry,671
33,Dumbledore,Hagrid,59
34,Hagrid,McGonagall,52
35,Hagrid,James,7
36,Harry,James,4
37,three,two,27
38,Hagrid,three,28
39,Dumbledore,three,4
40,Harry,one,242
41,Dudley,one,16
42,Harry,second,100
43,Dudley,Petunia,21
44,Harry,Petunia,40
45,Dudley,two,7
46,Harry,Vernon,85
47,Dudley,Vernon,48
48,Figg,Vernon,3
49,Dudley,Figg,11
50,Figg,Harry,35
51,Figg,two,4
52,Harry,Snowy,7
53,Paws,Snowy,6
54,Paws,Tufty,6
55,Figg,Snowy,5
56,Tufty,Uncle,5
57,Uncle,Vernon,62
58,Harry,Yvonne,7
59,Dudley,Yvonne,1
60,Aunt,Harry,12
61,Aunt,Petunia,25
62,Dudley,Piers,8
63,Aunt,Dudley,8
64,Aunt,Figg,5
65,Dudley,Uncle,27
66,Harry,Uncle,25
67,Petunia,second,7
68,Dennis,Harry,1
69,Dennis,Malcolm,6
70,Gordon,Malcolm,6
71,Dudley,Gordon,5
72,Dennis,Dudley,4
73,Dudley,Smeltings,19
74,Gordon,Smeltings,1
75,Harry,Smeltings,8
76,Petunia,Uncle,19
77,Vernon,one,5
78,Petunia,one,6
79,Uncle,one,6
80,Harry,three,129
81,Vernon,three,2
82,Petunia,Vernon,7
83,Harry,Rubeus,6
84,Dursley,Vernon,1
85,Harry,Hogwarts,56
86,one,second,11
87,Hagrid,Vernon,12
88,Dursley,Hagrid,5
89,Hagrid,Petunia,8
90,Harry,Minerva,6
91,Hagrid,Muggle,16
92,Harry,Wizard,11
93,Lily,Petunia,1
94,Harry,Lily,2
95,Dumbledore,Hogwarts,1
96,Bones,Harry,12
97,Dumbledore,Vernon,1
98,Dursley,one,6
99,Hagrid,one,14
100,Dudley,Hagrid,8
101,Albus,James,1
102,Albus,Uncle,5
103,Hagrid,Hogwarts,14
104,Hogwarts,one,4
105,Hagrid,Uncle,9
106,Cornelius,Hogwarts,5
107,Cornelius,Dumbledore,3
108,Adalbert,Harry,7
109,Harry,Phyllida,9
110,Hagrid,Tom,11
111,Harry,Tom,1
112,Doris,Harry,19
113,Dedalus,Harry,10
114,Doris,one,1
115,Hagrid,two,12
116,Hagrid,second,15
117,second,three,5
118,Harry,Welcome,6
119,Hagrid,Welcome,2
120,Griphook,Hagrid,11
121,Griphook,Harry,40
122,Dumbledore,Griphook,3
123,Griphook,one,7
124,Harry,Slytherin,124
125,Muggle,Slytherin,5
126,Hagrid,Slytherin,8
127,Dudley,Vindictus,3
128,Harry,Vindictus,3
129,Dudley,Muggle,4
130,Harry,Ollivander,73
131,Hagrid,Ollivander,8
132,Ollivander,one,2
133,Harry,Hedwig,35
134,Aunt,Hedwig,5
135,Hedwig,Petunia,4
136,Dudley,Hedwig,3
137,Dudley,Hogwarts,3
138,Smeltings,Uncle,4
139,Hedwig,Smeltings,2
140,Hedwig,Hogwarts,3
141,Ginny,Harry,14
142,Ginny,Percy,4
143,Harry,Percy,71
144,George,Harry,37
145,Fred,George,25
146,Fred,second,2
147,Harry,Ron,1359
148,Harry,Neville,302
149,Harry,Lee,18
150,Hedwig,Lee,1
151,Fred,Harry,66
152,Ron,one,48
153,one,two,11
154,Percy,two,5
155,Percy,one,8
156,Fred,Ginny,3
157,Ginny,three,4
158,George,Ron,21
159,Fred,Ron,5
160,Ron,second,18
161,Ron,three,39
162,Hogwarts,Ron,11
163,Charlie,Hogwarts,1
164,Bill,Hogwarts,3
165,Bill,Percy,4
166,Bill,Charlie,16
167,Charlie,Percy,6
168,Bill,Harry,14
169,Percy,Ron,21
170,Charlie,Ron,35
171,Dudley,Ron,7
172,Hagrid,Ron,119
173,Ptolemy,Ron,1
174,Harry,Ptolemy,5
175,Dumbledore,Ron,59
176,Dumbledore,Nicolas,22
177,Nicolas,Ron,14
178,Dumbledore,Morgana,7
179,Morgana,Ron,5
180,Muggle,Ron,12
181,Alberic,Morgana,5
182,Alberic,Circe,5
183,Circe,Paracelsus,6
184,Merlin,Paracelsus,6
185,Circe,Morgana,1
186,Cliodna,Merlin,5
187,Cliodna,Ron,5
188,Harry,Hermione,164
189,Dumbledore,Neville,4
190,Neville,two,18
191,Ron,two,31
192,Ron,Slytherin,24
193,Bill,Ron,9
194,Hermione,Neville,36
195,Crabbe,Harry,2
196,Crabbe,Goyle,6
197,Goyle,Harry,26
198,Harry,Malfoy,268
199,Draco,Malfoy,8
200,Draco,Ron,7
201,Malfoy,Ron,131
202,Draco,Harry,27
203,Goyle,Ron,18
204,Goyle,three,6
205,Goyle,Malfoy,17
206,Hermione,second,5
207,Hermione,Ron,154
208,Neville,Ron,113
209,Hagrid,Neville,30
210,McGonagall,Slytherin,8
211,McGonagall,second,5
212,second,twenty,3
213,McGonagall,Petunia,3
214,Abbott,McGonagall,4
215,Abbott,Harry,2
216,Abbott,Hannah,3
217,Hannah,Harry,10
218,Bones,Hannah,1
219,Bones,Susan,5
220,Harry,Susan,1
221,Hannah,Susan,5
222,Hannah,Terry,4
223,Susan,Terry,1
224,Terry,second,11
225,Harry,Terry,4
226,Ron,Terry,1
227,Dudley,Slytherin,3
228,Dudley,Finch-Fletchley,1
229,Finch-Fletchley,Justin,5
230,Finch-Fletchley,Harry,6
231,Harry,Justin,3
232,Finnigan,Harry,5
233,Finnigan,Seamus,10
234,Harry,Seamus,56
235,Ron,Seamus,5
236,McGonagall,Neville,23
237,Morag,Neville,5
238,Malfoy,Morag,3
239,Malfoy,Neville,52
240,Harry,Morag,1
241,Slytherin,Weasley,1
242,Harry,Weasley,62
243,Albus,Hagrid,1
244,Harry,Lisa,4
245,Lisa,Ron,4
246,Blaise,Percy,3
247,Blaise,Slytherin,5
248,Blaise,Harry,2
249,Nicholas,Ron,1
250,Malfoy,Slytherin,22
251,Malfoy,Seamus,2
252,Muggle,Neville,4
253,Great,Neville,2
254,Great,Muggle,1
255,Great,Harry,3
256,Hermione,Percy,4
257,Percy,Snape,1
258,Harry,Snape,452
259,Dumbledore,Snape,57
260,Dumbledore,Weasley,6
261,Dumbledore,Percy,7
262,Harry,Peeves,32
263,Peeves,Percy,21
264,Neville,Peeves,13
265,Neville,Percy,11
266,Malfoy,Snape,29
267,Argus,two,1
268,Peeves,two,4
269,Argus,Peeves,4
270,Argus,Harry,4
271,Norris,Ron,25
272,Harry,Norris,43
273,Norris,Weasley,5
274,Emeric,Harry,1
275,Emeric,Uric,5
276,Harry,Uric,1
277,McGonagall,Uric,2
278,McGonagall,one,9
279,Seamus,one,6
280,Seamus,Weasley,1
281,Finnigan,Weasley,4
282,Muggle,Weasley,1
283,McGonagall,Ron,31
284,Hagrid,Hedwig,7
285,Hedwig,Snape,3
286,Hagrid,Snape,51
287,Snape,one,16
288,Draco,Goyle,6
