,character,firstname
0,Abbott,Abbott
1,Abbott family,Abbott
2,Hannah Abbott,Hannah
3,Abel Treetops,Abel
4,Euan Abercrombie,Euan
5,Aberforth Dumbledore,Aberforth
6,Abernathy,Abernathy
7,Abraham Peasegood,Abraham
8,Abraham Potter,Abraham
9,Abraxas Malfoy,Abraxas
10,Achilles Tolliver,Achilles
11,Stewart Ackerley,Stewart
12,Adalbert Waffling,Adalbert
13,Adrian Pucey,Adrian
14,Adrian Tutley,Adrian
15,three African wizards,three
16,Agatha Chubb,Agatha
17,Agatha Timms,Agatha
18,Agilbert Fontaine,Agilbert
19,Agnes,Agnes
20,Cornelius Agrippa,Cornelius
21,Aidan Kiely,Aidan
22,Aidan Lynch,Aidan
23,Alasdair Maddock,Alasdair
24,Alastor Gumboil,Alastor
25,Mad-Eye Moody,Mad-Eye
26,Albanian peasant,Albanian
27,Alberic Grunnion,Alberic
28,Alberta Toothill,Alberta
29,Albert Boot,Albert
30,Albert Jorkins,Albert
31,Albert Runcorn,Albert
32,Albert Tillyman,Albert
33,Albus Dumbledore,Albus
34,Albus Potter,Albus
35,Alderton,Alderton
36,Arkie Alderton,Arkie
37,Alecto Carrow,Alecto
38,Alfred Cattermole,Alfred
39,Alguff the Awful,Alguff
40,Ali Bashir,Ali
41,Alice Longbottom,Alice
42,Alicia Spinnet,Alicia
43,Aliko Okoye,Aliko
44,Raul Almeida,Raul
45,Almerick Sawbridge,Almerick
46,Alejandra Alonso,Alejandra
47,Alphard Black,Alphard
48,Altheda,Altheda
49,Amarillo Lestoat,Amarillo
50,Amata,Amata
51,Ambrosius Flume,Ambrosius
52,Amelia Susan Bones,Amelia
53,Amos Diggory,Amos
54,Amy Benson,Amy
55,Amycus Carrow,Amycus
56,P.C. Anderson,P.C.
57,Andorran Minister for Magic,Andorran
58,Andrew Kirke,Andrew
59,Andromeda Tonks,Andromeda
60,Andros the Invincible,Andros
61,Angelina Johnson,Angelina
62,Angelus Peel,Angelus
63,Angus Buchanan,Angus
64,Angus Campbell,Angus
65,Angus Fleet,Angus
66,Angus McMangus,Angus
67,Annis Black,Annis
68,Anonymous,Anonymous
69,Anthony Goldstein,Anthony
70,Antioch Peverell,Antioch
71,Antonin Dolohov,Antonin
72,Antonio,Antonio
73,Apolline Delacour,Apolline
74,Apollyon Pringle,Apollyon
75,Figg,Figg
76,Aragog,Aragog
77,Araminta Meliflua,Araminta
78,Archer Evermonde,Archer
79,Archibald Alderton,Archibald
80,Archie,Archie
81,Archie Aymslowe,Archie
82,Arcturus Black ,Arcturus
83,Arcturus Black ,Arcturus
84,Arcus,Arcus
85,Argus Filch,Argus
86,Argus Pyrites,Argus
87,Ariana Dumbledore,Ariana
88,Aristotle Twelvetrees,Aristotle
89,Arkie Philpott,Arkie
90,Armand Malfoy,Armand
91,Armando Dippet,Armando
92,Armenian warlock,Armenian
93,Arnold,Arnold
94,Arnold Guzman,Arnold
95,Arnie Peasegood,Arnie
96,Arnulf Moe,Arnulf
97,Arsenia Gonzales,Arsenia
98,Arsenius Jigger,Arsenius
99,Artemisia Lufkin,Artemisia
100,Artemius Lawson,Artemius
101,Arthur's contact at the Floo Regulation Panel,Arthur's
102,Arthur Weasley,Arthur
103,Arturo Cephalopos,Arturo
104,Asha,Asha
105,Astoria Greengrass,Astoria
106,Over-Attentive Wizard,Over-Attentive
107,Bertram Aubrey,Bertram
108,Audrey Weasley,Audrey
109,"Augusta ""Gran"" Longbottom",Augusta
110,Augustus Pye,Augustus
111,Augustus Rookwood,Augustus
112,Augustus Worme,Augustus
113,Auntie Muriel,Auntie
114,Aunt Marge Dursley,Aunt
115,Aurelius Dumbledore,Aurelius
116,Professor Sinistra,Professor
117,Avery,Avery
118,Avery family,Avery
119,Babajide Akingbade,Babajide
120,Babayaga,Babayaga
121,Babbitty Rabbitty,Babbitty
122,Bagman Sr.,Bagman
123,Bagman family,Bagman
124,Ludo Bagman,Ludo
125,Otto Bagman,Otto
126,Millicent Bagnold,Millicent
127,Bathilda Bagshot,Bathilda
128,Kquewanda Bailey,Kquewanda
129,Ballyfumble Stranger,Ballyfumble
130,Bandon Banshee,Bandon
131,Bane,Bane
132,Heathcote Barbary,Heathcote
133,José Barboza,José
134,Bartholomew Barebone,Bartholomew
135,Chastity Barebone,Chastity
136,Credence Barebone,Credence
137,Barebone Family,Barebone
138,Mary Lou Barebone,Mary
139,Modesty Barebone,Modesty
140,Lucas Bargeworthy,Lucas
141,Barker,Barker
142,Barnabas the Barmy,Barnabas
143,Barnabas Cuffe,Barnabas
144,Barnabas Deverill,Barnabas
145,Barnabus Finkley,Barnabus
146,Barnaby Snell,Barnaby
147,Cousin Barny,Cousin
148,Barry Ryan,Barry
149,Barty Crouch Jr.,Barty
150,Barty Crouch Sr.,Barty
151,Baruffio,Baruffio
152,Ali Bashir,Ali
153,Basil,Basil
154,Basil Flack,Basil
155,Basil Horton,Basil
156,Bathsheda Babbling,Bathsheda
157,Barny the Fruitbat,Barny
158,Charlie Baverstock,Charlie
159,Beatrix Bloxam,Beatrix
160,Beaumont Marjoribanks,Beaumont
161,several Beauxbatons students,several
162,Beedle the Bard,Beedle
163,Herbert Beery,Herbert
164,Belby,Belby
165,Humphrey Belcher,Humphrey
166,Katie Bell,Katie
167,Brother Benedict,Brother
168,Benedita Dourado,Benedita
169,Benjy Fenwick,Benjy
170,Benjy Williams,Benjy
171,Amy Benson,Amy
172,Bernadette,Bernadette
173,Bernie Pillsworth,Bernie
174,Bertha Jorkins,Bertha
175,Bertha Jorkins' second cousin,Bertha
176,Berthilde Roche,Berthilde
177,Bertie Bott,Bertie
178,Bertie Higgs,Bertie
179,Bertram Aubrey,Bertram
180,Bertrand de Pensées-Profondes,Bertrand
181,BF,BF
182,Bill's penfriend from Brazil,Bill's
183,Bill Weasley,Bill
184,Billy Stubbs,Billy
185,Bingley,Bingley
186,Binky,Binky
187,Professor Binns,Professor
188,Brevis Birch,Brevis
189,Dennis Bishop,Dennis
190,Alphard Black,Alphard
191,Annis Black,Annis
192,Arcturus Black ,Arcturus
193,Arcturus Black ,Arcturus
194,Bellatrix Lestrange,Bellatrix
195,Belvina Black,Belvina
196,Callidora Black,Callidora
197,Cassiopeia Black,Cassiopeia
198,Charis Black,Charis
199,Cygnus Black,Cygnus
200,Cygnus Black ,Cygnus
201,Black family,Black
202,Iola Black,Iola
203,Marius Black,Marius
204,Orion Black,Orion
205,Phineas Black,Phineas
206,Pollux Black,Pollux
207,Dorea Black Potter,Dorea
208,Regulus Black,Regulus
209,Sirius Black,Sirius
210,Cedrella Black Weasley,Cedrella
211,Blagdon Blay,Blagdon
212,Blaise Zabini,Blaise
213,Blaise Zabini's mother,Blaise
214,Susan Blancheflower,Susan
215,Balfour Blane,Balfour
216,Blenheim Stalk,Blenheim
217,Barnabus Blenkinsop,Barnabus
218,Timothy Blenkinsop,Timothy
219,Bletchley,Bletchley
220,Miles Bletchley,Miles
221,old bloke picking his nose,old
222,Jean-Baptiste Bloncourt,Jean-Baptiste
223,The Bloody Baron,The
224,Blodwyn Bludd,Blodwyn
225,Bludgeoning Boggart of Old London Town,Bludgeoning
226,"Bob, Bill, and Barnaby Ollerton","Bob,"
227,Bobbin family,Bobbin
228,Melinda Bobbin,Melinda
229,Bob Hitchens,Bob
230,Bob Ogden,Bob
231,Broderick Bode,Broderick
232,Old Boggle of Canterbury,Old
233,Bogomil Levski,Bogomil
234,Bogrod,Bogrod
235,Sylvian Boigny,Sylvian
236,Bole,Bole
237,Hector Bolobolo,Hector
238,Bonawentura Wójcik,Bonawentura
239,Bones family,Bones
240,and Bones,and
241,Amelia Susan Bones,Amelia
242,Susan Bones,Susan
243,Madame Bonhabille,Madame
244,Brother Boniface,Brother
245,Boot,Boot
246,Boot,Boot
247,Albert Boot,Albert
248,Chadwick Boot,Chadwick
249,Gladys Boothby,Gladys
250,Webster Boot,Webster
251,Libatius Borage,Libatius
252,Borgin,Borgin
253,Borgin,Borgin
254,Boris the Bewildered,Boris
255,Boris Vulchanov,Boris
256,Craig Bowker Jr.,Craig
257,Bowman Wright,Bowman
258,Bozo,Bozo
259,Bradley,Bradley
260,Barberus Bragge,Barberus
261,Bragging Young Wizard,Bragging
262,Betty Braithwaite,Betty
263,Bran the Bloodthirsty,Bran
264,Rudolf Brand,Rudolf
265,Maximus Brankovitch III,Maximus
266,Brian Gadwilde,Brian
267,Bridget Wenlock,Bridget
268,Bridget Wenlock's cousin,Bridget
269,Cormac O’Brien,Cormac
270,British envoy to the International Confederation of Wizards,British
271,Karl and Kevin Broadmoor,Karl
272,Brodrig the Boss-Eyed,Brodrig
273,Lavender Brown,Lavender
274,Bruno Schmidt,Bruno
275,Brutus Malfoy,Brutus
276,Brutus Scrimgeour,Brutus
277,Bruno Bruunhart,Bruno
278,Angus Buchanan,Angus
279,Buckbeak,Buckbeak
280,Buckley Cooper,Buckley
281,Zygmunt Budge,Zygmunt
282,Bulstrode family,Bulstrode
283,K. Bundy,K.
284,Bungy the Budgie,Bungy
285,Bunty,Bunty
286,Charity Burbage,Charity
287,Burdock Muldoon,Burdock
288,Caractacus Burke,Caractacus
289,Burke family,Burke
290,Cadmus Peverell,Cadmus
291,Cadwallader,Cadwallader
292,Calchas,Calchas
293,Calderon-Boot family,Calderon-Boot
294,Callidora Black,Callidora
295,Angus Campbell,Angus
296,Lennox Campbell,Lennox
297,Cantankerus Nott,Cantankerus
298,S. Capper,S.
299,Caractacus Burke,Caractacus
300,Caradoc Dearborn,Caradoc
301,O.W.L. Care of Magical Creatures Examiner,O.W.L.
302,Carlos Lopez,Carlos
303,Carlotta Pinkstone,Carlotta
304,Eddie Carmichael,Eddie
305,Rancorous Carpe,Rancorous
306,Carrow,Carrow
307,Alecto Carrow,Alecto
308,Amycus Carrow,Amycus
309,Carrow family,Carrow
310,Caspar Crouch,Caspar
311,Cassandra Trelawney,Cassandra
312,Cassandra Vablatsky,Cassandra
313,Cassiopeia Black,Cassiopeia
314,Catriona McCormack,Catriona
315,Cattermole family,Cattermole
316,Reginald Cattermole,Reginald
317,Catullus Spangle,Catullus
318,Cecilia,Cecilia
319,Cecily,Cecily
320,Cedrella Black Weasley,Cedrella
321,Cedric Diggory,Cedric
322,Celestina Warbeck,Celestina
323,Chadwick Boot,Chadwick
324,Chambers,Chambers
325,Cho Chang,Cho
326,Polly Chapman,Polly
327,Charis Black,Charis
328,Charity Burbage,Charity
329,Charity Wilkinson,Charity
330,Charlie Baverstock,Charlie
331,Charlie Weasley,Charlie
332,Charlus Potter,Charlus
333,Chastity Barebone,Chastity
334,Chauncey Oldridge,Chauncey
335,Glenda Chittock,Glenda
336,Herbert Chorley,Herbert
337,The Chosen One,The
338,Agatha Chubb,Agatha
339,Winston Churchill,Winston
340,Ciceron Harkiss,Ciceron
341,Circe,Circe
342,Elfrida Clagg,Elfrida
343,Clairvius Hyppolite,Clairvius
344,Clarisse Tremblay,Clarisse
345,Ptolemy,Ptolemy
346,Penelope Clearwater,Penelope
347,Cliodna,Cliodna
