,source,target,value
0,Dursley,Dursley,17
1,Dudley,Dursley,55
2,Dudley,Harry,496
3,Dursley,Harry,62
4,Dudley,Dudley,40
5,Dudley,second,22
6,Dursley,second,6
7,Harry,Harvey,3
8,Harold,Harvey,4
9,Dursley,Harvey,1
10,Dursley,Harold,3
11,Dursley,Muggle,1
12,Jim,Ted,5
13,Dursley,Ted,1
14,Dursley,two,12
15,Petunia,two,1
16,Dursley,Petunia,11
17,Petunia,Petunia,1
18,Harry,two,190
19,Albus,Harry,26
20,Dumbledore,Dursley,5
21,Dumbledore,Harry,301
22,Dumbledore,McGonagall,97
23,Harry,McGonagall,242
24,Dedalus,Dumbledore,4
25,Harry,Muggle,64
26,Dumbledore,Muggle,2
27,McGonagall,Muggle,4
28,McGonagall,McGonagall,3
29,McGonagall,two,16
30,Dumbledore,two,8
31,Dumbledore,Dumbledore,16
32,Dumbledore,James,6
33,Dumbledore,Lily,1
34,James,Lily,11
35,Albus,McGonagall,1
36,Albus,Dumbledore,9
37,Hagrid,Harry,671
38,Hagrid,Hagrid,60
39,Dumbledore,Hagrid,59
40,Harry,Harry,412
41,Hagrid,McGonagall,52
42,Hagrid,James,7
43,Harry,James,4
44,three,two,27
45,Hagrid,three,28
46,Dumbledore,three,4
47,Harry,one,242
48,Dudley,one,16
49,Harry,second,100
50,Dudley,Petunia,21
51,Harry,Petunia,40
52,Dudley,two,7
53,Harry,Vernon,85
54,Dudley,Vernon,48
55,Figg,Vernon,3
56,Dudley,Figg,11
57,Figg,Harry,35
58,Figg,two,4
59,Harry,Snowy,7
60,Paws,Snowy,6
61,Paws,Tufty,6
62,Figg,Snowy,5
63,Tufty,Uncle,5
64,Uncle,Vernon,62
65,Vernon,Vernon,6
66,Harry,Yvonne,7
67,Dudley,Yvonne,1
68,Aunt,Harry,12
69,Aunt,Petunia,25
70,Dudley,Piers,8
71,Aunt,Dudley,8
72,Aunt,Figg,5
73,Dudley,Uncle,27
74,Harry,Uncle,25
75,Petunia,second,7
76,Dennis,Harry,1
77,Dennis,Malcolm,6
78,Gordon,Malcolm,6
79,Dudley,Gordon,5
80,Dennis,Dudley,4
81,Dudley,Smeltings,19
82,Gordon,Smeltings,1
83,Harry,Smeltings,8
84,Petunia,Uncle,19
85,Vernon,one,5
86,Petunia,one,6
87,Uncle,one,6
88,Harry,three,129
89,Vernon,three,2
90,Petunia,Vernon,7
91,Harry,Rubeus,6
92,Dursley,Vernon,1
93,Harry,Hogwarts,56
94,one,second,11
95,Hagrid,Vernon,12
96,Dursley,Hagrid,5
97,Hagrid,Petunia,8
98,Harry,Minerva,6
99,Hagrid,Muggle,16
100,Harry,Wizard,11
101,Lily,Petunia,1
102,Harry,Lily,2
103,Dumbledore,Hogwarts,1
104,Bones,Harry,12
105,Dumbledore,Vernon,1
106,Dursley,one,6
107,Hagrid,one,14
108,Dudley,Hagrid,8
109,Albus,James,1
110,Albus,Uncle,5
111,Hagrid,Hogwarts,14
112,Hogwarts,one,4
113,Hagrid,Uncle,9
114,Cornelius,Hogwarts,5
115,Cornelius,Dumbledore,3
116,Adalbert,Harry,7
117,Harry,Phyllida,9
118,Hagrid,Tom,11
119,Harry,Tom,1
120,Doris,Harry,19
121,Dedalus,Harry,10
122,Doris,one,1
123,Hagrid,two,12
124,Hagrid,second,15
125,second,three,5
126,Harry,Welcome,6
127,Hagrid,Welcome,2
128,Griphook,Hagrid,11
129,Griphook,Griphook,2
130,Griphook,Harry,40
131,Dumbledore,Griphook,3
132,Griphook,one,7
133,Harry,Slytherin,124
134,Muggle,Muggle,3
135,Muggle,Slytherin,5
136,Hagrid,Slytherin,8
137,Dudley,Vindictus,3
138,Harry,Vindictus,3
139,Dudley,Muggle,4
140,Harry,Ollivander,73
141,Hagrid,Ollivander,8
142,Ollivander,one,2
143,Harry,Hedwig,35
144,Aunt,Hedwig,5
145,Hedwig,Hedwig,2
146,Hedwig,Petunia,4
147,Dudley,Hedwig,3
148,Dudley,Hogwarts,3
149,Smeltings,Uncle,4
150,Hedwig,Smeltings,2
151,Hedwig,Hogwarts,3
152,Ginny,Harry,14
153,Ginny,Percy,4
154,Harry,Percy,71
155,George,Harry,37
156,Fred,George,25
157,Fred,second,2
158,Harry,Ron,1359
159,Harry,Neville,302
160,Harry,Lee,18
161,Hedwig,Lee,1
162,Fred,Harry,66
163,Ron,one,48
164,one,two,11
165,Percy,two,5
166,Percy,one,8
167,Fred,Ginny,3
168,Ginny,three,4
169,George,Ron,21
170,Fred,Ron,5
171,Ron,Ron,57
172,Ron,second,18
173,Ron,three,39
174,Hogwarts,Ron,11
175,Charlie,Hogwarts,1
176,Bill,Hogwarts,3
177,Bill,Percy,4
178,Bill,Charlie,16
179,Charlie,Percy,6
180,Bill,Harry,14
181,Percy,Ron,21
182,Charlie,Ron,35
183,Dudley,Ron,7
184,Hagrid,Ron,119
185,one,one,2
186,Ptolemy,Ron,1
187,Harry,Ptolemy,5
188,Dumbledore,Ron,59
189,Dumbledore,Nicolas,22
190,Nicolas,Ron,14
191,Dumbledore,Morgana,7
192,Morgana,Ron,5
193,Muggle,Ron,12
194,Alberic,Morgana,5
195,Alberic,Circe,5
196,Circe,Paracelsus,6
197,Merlin,Paracelsus,6
198,Circe,Morgana,1
199,Cliodna,Merlin,5
200,Cliodna,Ron,5
201,Harry,Hermione,164
202,Dumbledore,Neville,4
203,Neville,two,18
204,Ron,two,31
205,Ron,Slytherin,24
206,Bill,Ron,9
207,Hermione,Neville,36
208,Crabbe,Harry,2
209,Crabbe,Goyle,6
210,Goyle,Harry,26
211,Harry,Malfoy,268
212,Draco,Malfoy,8
213,Draco,Ron,7
214,Malfoy,Ron,131
215,Draco,Harry,27
216,Goyle,Ron,18
217,Goyle,three,6
218,Goyle,Goyle,1
219,Goyle,Malfoy,17
220,Hermione,second,5
221,Hermione,Ron,154
222,Neville,Ron,113
223,Hagrid,Neville,30
224,McGonagall,Slytherin,8
225,McGonagall,second,5
226,second,twenty,3
227,McGonagall,Petunia,3
228,Abbott,McGonagall,4
229,Abbott,Harry,2
230,Abbott,Hannah,3
231,Hannah,Harry,10
232,Bones,Hannah,1
233,Bones,Susan,5
234,Harry,Susan,1
235,Susan,Susan,4
236,Hannah,Susan,5
237,Hannah,Terry,4
238,Susan,Terry,1
239,Terry,second,11
240,Harry,Terry,4
241,Ron,Terry,1
242,Slytherin,Slytherin,12
