,source,target,value
0,Harry,Vernon,41
1,Harry,Petunia,34
2,Dudley,Harry,154
3,Aunt,Harry,4
4,Aunt,Petunia,9
5,Petunia,Smeltings,5
6,Petunia,Petunia,1
7,Dudley,Petunia,11
8,Dudley,Smeltings,4
9,Dudley,Dudley,6
10,Dudley,Dursley,5
11,Dursley,Dursley,4
12,Dursley,Harry,3
13,Harry,Harry,560
14,Harry,Snape,204
15,Hagrid,Snape,13
16,Hagrid,Harry,349
17,Harry,Uncle,15
18,Hagrid,Uncle,2
19,Harry,Hedwig,85
20,Hedwig,Vernon,4
21,Dudley,Vernon,8
22,Harry,Hogwarts,65
23,Harry,one,217
24,Petunia,one,4
25,Petunia,Vernon,3
26,Harry,Hermione,221
27,Hermione,Ron,162
28,Harry,Ron,2071
29,Hedwig,Ron,40
30,Dudley,Ron,20
31,Draco,Harry,81
32,Draco,Ron,13
33,Harry,second,131
34,Aunt,Dudley,4
35,Harry,two,172
36,Dudley,Uncle,5
37,Uncle,Vernon,18
38,Vernon,one,1
39,Dobby,Harry,491
40,Dobby,Petunia,4
41,Dobby,Hedwig,10
42,Dobby,one,9
43,one,one,16
44,Dobby,Dobby,47
45,Dobby,Ron,22
46,Ron,Ron,124
47,Dobby,second,14
48,Hogwarts,Vernon,3
49,Dumbledore,Harry,348
50,Dumbledore,one,38
51,Dobby,Dumbledore,15
52,Albus,Dobby,2
53,Albus,Hogwarts,6
54,Albus,Dumbledore,11
55,Dobby,Hogwarts,22
56,Albus,one,1
57,Hagrid,Ron,115
58,Dobby,Hermione,1
59,Dobby,Hagrid,8
60,Dobby,Uncle,5
61,Harry,Mafalda,8
62,Harry,three,115
63,George,Harry,146
64,George,Ron,34
65,Ron,second,13
66,Fred,Ron,40
67,Fred,Harry,157
68,Fred,Fred,5
69,Fred,Hedwig,4
70,Harry,Muggle,87
71,Fred,Muggle,5
72,George,Muggle,6
73,Muggle,Ron,27
74,Fred,George,63
75,George,Vernon,2
76,Fred,Vernon,4
77,Ron,Vernon,7
78,Uncle,second,5
79,Vernon,second,2
80,Fred,Petunia,4
81,Petunia,Ron,1
82,George,Hedwig,1
83,Dobby,Fred,5
84,Draco,Hogwarts,1
85,George,Lucius,2
86,Harry,Lucius,56
87,Harry,Malfoy,397
88,Dudley,Malfoy,5
89,Lucius,Malfoy,13
90,Fred,Lucius,1
91,Dudley,Fred,1
92,George,one,5
93,Draco,Malfoy,58
94,Malfoy,Malfoy,39
95,Hogwarts,Malfoy,7
96,Dobby,Malfoy,32
97,Errol,Ron,27
98,Errol,Harry,8
99,Harry,Hermes,2
100,Fred,Hermes,1
101,Hermes,Percy,4
102,Fred,Percy,28
103,Percy,Ron,100
104,George,Percy,14
105,Muggle,one,3
106,Perkins,one,4
107,Fred,one,3
108,Fred,Perkins,1
109,Weasley,three,14
110,Ron,Weasley,97
111,Fred,Weasley,33
112,Ron,three,49
113,Harry,Weasley,265
114,George,Weasley,41
115,Weasley,one,36
116,Bill,Weasley,12
117,Bill,Fred,5
118,Celestina,Harry,7
119,Celestina,Weasley,4
120,Arthur,Harry,34
121,Fred,three,9
122,Ginny,Weasley,90
123,Ginny,Ron,105
124,Ginny,Harry,258
125,Weasley,two,8
126,Fred,two,5
127,Ron,two,70
128,Gilderoy,Weasley,9
129,Gilderoy,Harry,52
130,Mundungus,Weasley,5
131,Weasley,Weasley,32
132,Mortlake,Weasley,4
133,George,Mortlake,5
134,Muggle,Weasley,17
135,Molly,Weasley,19
136,Arthur,Molly,7
137,Arthur,Weasley,40
138,Ginny,two,10
139,Martin,two,1
140,Martin,Ron,8
141,Ron,Scabbers,5
142,Harry,Martin,1
143,Scabbers,one,2
144,Harry,Scabbers,2
145,Ron,one,76
146,Martin,Scabbers,1
147,Harry,Miranda,5
148,Ginny,Ginny,18
149,Harry,Percy,123
150,Percy,Percy,4
151,Errol,Percy,4
152,Hermione,Percy,12
153,Errol,Errol,4
154,Errol,Hermione,6
155,Bill,Harry,8
156,Bill,Bill,1
157,Charlie,Weasley,4
158,Charlie,Charlie,3
159,Bill,Charlie,4
160,Bill,George,3
161,Charlie,George,1
162,George,Ginny,13
163,Bill,Ginny,7
164,George,Molly,6
165,Arthur,Dudley,5
166,one,two,23
167,Draco,one,1
168,Malfoy,one,21
169,Dumbledore,Malfoy,54
170,Borgin,Malfoy,66
171,Borgin,Harry,37
172,Borgin,Ministry,7
173,Malfoy,Muggle,10
174,Arthur,Muggle,17
175,Borgin,Draco,18
176,Draco,Hermione,5
177,Hermione,Malfoy,16
178,Borgin,Borgin,2
179,Borgin,Wizard,3
180,Malfoy,Wizard,4
181,Draco,Wizard,1
182,Draco,Draco,1
183,Borgin,two,5
184,Hagrid,Hagrid,25
185,Hagrid,three,11
186,Hagrid,Hermione,12
187,Hermione,two,2
188,Hagrid,one,19
189,Hagrid,Weasley,23
190,Ginny,Hagrid,2
191,Borgin,Ron,4
192,Malfoy,Ron,171
193,Lucius,Weasley,24
194,Malfoy,Weasley,49
195,Arthur,Lucius,6
196,Hermione,Weasley,8
197,Hermione,Lucius,1
198,Hermione,Muggle,10
199,Granger,Muggle,3
200,Granger,Ron,12
201,Percy,Weasley,25
202,Hogwarts,Percy,6
203,Hogwarts,Lee,6
204,Ginny,Lee,2
205,Lee,Weasley,8
206,Ginny,one,10
207,Hermione,one,13
208,Hermione,three,7
209,Lee,three,4
210,Filibuster,Lee,6
211,Filibuster,Percy,4
212,Filibuster,Harry,7
213,Granger,Harry,15
214,Granger,Weasley,16
215,Gilderoy,Ron,24
216,Gilderoy,Ginny,3
217,Draco,Ginny,4
218,Ginny,Malfoy,27
219,Arthur,George,3
220,Arthur,Malfoy,9
221,Draco,Weasley,1
222,Draco,Lucius,8
223,Granger,Malfoy,19
224,Ginny,Granger,2
225,Fred,Malfoy,9
226,Arthur,Hagrid,7
227,Hagrid,Malfoy,31
228,Draco,Hagrid,5
229,Arthur,Draco,5
230,Fred,Gilderoy,4
231,Hogwarts,Ron,16
232,Filibuster,Weasley,2
233,Filibuster,Ginny,2
234,Harry,Molly,9
235,Molly,one,1
236,Ginny,Percy,37
237,Filibuster,George,4
238,Filibuster,Fred,8
239,Fred,Ginny,16
240,Arthur,Arthur,3
241,Hedwig,two,3
242,Harry,McGonagall,253
243,McGonagall,Slytherin,2
244,Harry,Slytherin,227
245,Ron,Slytherin,49
246,Dumbledore,Slytherin,25
247,Dumbledore,Hagrid,59
248,Ron,Severus,3
249,Harry,Severus,18
250,Severus,Snape,5
251,Slytherin,Snape,15
252,Severus,two,1
253,Ron,Snape,82
254,Snape,Snape,25
255,Snape,Weasley,8
256,Snape,one,16
257,McGonagall,Snape,41
258,McGonagall,Ron,65
259,Dumbledore,Snape,28
260,Dumbledore,Ron,47
261,Dumbledore,Dumbledore,32
262,Dumbledore,Weasley,21
263,McGonagall,Weasley,40
264,McGonagall,Severus,7
265,Dumbledore,Severus,5
266,Dumbledore,McGonagall,49
267,McGonagall,Minerva,12
268,Minerva,Snape,5
269,Dumbledore,Minerva,10
270,Snape,two,12
271,McGonagall,two,5
272,Lee,Ron,2
273,Harry,Lee,9
274,Percy,one,4
275,Seamus,second,5
276,Dean,Seamus,47
277,Dean,Neville,23
278,Neville,Seamus,6
279,Dean,second,1
280,Harry,Neville,68
281,Dean,Harry,18
282,Neville,Neville,2
283,Neville,second,15
284,Hermione,second,5
285,Errol,Neville,7
286,Neville,Ron,26
287,Neville,one,5
288,Weasley,second,2
289,Hermione,McGonagall,8
290,Gilderoy,Hermione,4
291,Gilderoy,one,2
292,one,three,6
293,Harry,Justin,121
294,Justin,Ron,28
295,Ron,Sorting,7
296,Harry,Sorting,9
297,Colin,Harry,187
298,Colin,Muggle,1
299,Colin,Hogwarts,3
300,Hogwarts,one,8
301,Colin,Malfoy,14
302,Crabbe,Malfoy,9
303,Colin,Crabbe,3
304,Creevey,Harry,11
305,Colin,Creevey,4
306,Colin,Colin,4
307,Creevey,Ron,4
308,Creevey,Ginny,4
309,Harry,Ogden,2
310,Ogden,Ron,4
311,Dean,Ron,19
312,Ron,Seamus,13
313,Hermione,Seamus,6
314,Dean,Hermione,2
315,second,three,5
316,three,two,15
317,Colin,Gilderoy,4
318,Colin,Hedwig,2
319,Colin,Ron,24
320,Harry,Oliver,35
321,Colin,two,3
322,George,two,5
323,Colin,George,4
324,Colin,three,5
325,Alicia,George,10
326,Alicia,Katie,9
327,Angelina,Katie,4
328,Alicia,Harry,3
329,Angelina,Harry,11
330,Harry,Katie,2
331,Harry,Wood,36
332,Wood,Wood,6
333,George,Oliver,10
334,Ron,Wood,2
335,Colin,one,6
336,Colin,Fred,4
337,Colin,Wood,3
338,Colin,Slytherin,2
339,Slytherin,Wood,10
340,Flint,George,5
341,Flint,Marcus,1
342,Angelina,Marcus,5
343,Alicia,Angelina,6
344,Alicia,Slytherin,3
345,Katie,Slytherin,3
346,Flint,Wood,3
347,Flint,Slytherin,14
348,Draco,Wood,2
349,Draco,Fred,9
350,Flint,Malfoy,21
351,Draco,Flint,5
352,Flint,Harry,12
353,George,Malfoy,13
354,Flint,Ron,4
355,Slytherin,Weasley,5
356,Malfoy,Slytherin,30
357,Alicia,Ron,4
358,Alicia,Hermione,1
359,Colin,Hermione,1
360,Gilderoy,Hagrid,5
361,Fang,Hagrid,8
362,Fang,Harry,39
363,Fang,Fang,1
364,Malfoy,Neville,5
365,Hagrid,two,2
366,Gladys,Harry,5
367,Harry,Seamus,19
368,Hagrid,Percy,14
369,Slytherin,one,6
370,Slytherin,Slytherin,16
371,Argus,Harry,8
372,Harry,Norris,62
