,source,target,value
0,Harry,one,272
1,Bathilda,one,1
2,Bathilda,Harry,3
3,Harry,Wendelin,12
4,Dursley,Harry,12
5,Dudley,Harry,104
6,Dudley,Dursley,1
7,Harry,Harry,738
8,Harry,Snape,586
9,Harry,Ron,2166
10,Harry,Vernon,56
11,Ron,Vernon,12
12,Harry,Uncle,27
13,Uncle,Vernon,33
14,Ron,Uncle,15
15,Harry,Hogwarts,68
16,Hermione,Hogwarts,6
17,Hermione,Ron,342
18,Harry,Muggle,43
19,Harry,Hermione,474
20,Hedwig,one,7
21,Harry,Hedwig,109
22,Hedwig,Hedwig,7
23,Muggle,one,6
24,Hedwig,Wendelin,2
25,Dudley,Wendelin,4
26,Harry,two,177
27,Hedwig,two,2
28,Harry,James,64
29,Harry,Lily,22
30,James,Lily,35
31,Hedwig,second,1
32,Harry,second,92
33,Harry,three,147
34,three,two,24
35,second,three,1
36,Errol,two,1
37,Errol,Weasley,7
38,Errol,Harry,39
39,Errol,Errol,2
40,Errol,Hedwig,23
41,Harry,Weasley,245
42,Errol,one,6
43,Arthur,Errol,2
44,Arthur,Bill,1
45,Arthur,Weasley,19
46,Bill,Weasley,9
47,Bill,one,1
48,Weasley,Weasley,43
49,Weasley,one,20
50,Ron,one,94
51,Ginny,Ron,28
52,Ginny,Harry,42
53,Ron,Weasley,90
54,Ginny,one,5
55,Bill,Ginny,5
56,Harry,Percy,164
57,Bill,Harry,9
58,Bill,Ron,10
59,Hedwig,Ron,33
60,Hedwig,Hermione,9
61,Ron,two,39
62,Percy,Ron,72
63,Percy,Percy,9
64,Fleetwood,Harry,5
65,Hogwarts,one,3
66,Hagrid,Harry,487
67,Hagrid,one,8
68,Hagrid,three,11
69,Hagrid,Hagrid,40
70,Errol,Vernon,1
71,Hedwig,Vernon,4
72,Errol,Hagrid,1
73,Hagrid,Ron,137
74,Hogwarts,Ron,9
75,Hagrid,Hogwarts,6
76,Dudley,three,5
77,Dudley,Dudley,18
78,Harry,Petunia,67
79,Dudley,Petunia,8
80,Harry,Ripper,22
81,Hogwarts,Ripper,1
82,Ripper,Vernon,9
83,Dudley,Ripper,2
84,Dudley,Vernon,13
85,Dudley,Uncle,3
86,Aunt,Harry,9
87,Aunt,Vernon,11
88,Hedwig,Muggle,6
89,Errol,Ron,10
90,Dudley,one,9
91,Petunia,one,1
92,Aunt,Petunia,24
93,Petunia,Vernon,9
94,Petunia,Ripper,5
95,Ripper,Ripper,2
96,Petunia,Petunia,3
97,Harry,Ministry,15
98,Hogwarts,Ministry,2
99,Hogwarts,Petunia,1
100,Vernon,second,5
101,Ripper,second,4
102,Hogwarts,Muggle,5
