,source,target,value
0,Harry,three,217
1,Riddle,Tom,6
2,Tom,three,3
3,Frank,three,9
4,Frank,Frank,12
5,Frank,Harry,61
6,Dot,Frank,12
7,Dot,Dot,3
8,Dot,Harry,3
9,Frank,one,7
10,Harry,one,486
11,Frank,second,13
12,Frank,Wormtail,41
13,Frank,Nagini,4
14,Harry,Nagini,3
15,Harry,Wormtail,324
16,Wormtail,second,47
17,Harry,second,255
18,Nagini,second,10
19,Ministry,Wormtail,6
20,Ministry,one,3
21,Harry,Ministry,26
22,Wormtail,one,38
23,Wormtail,Wormtail,27
24,Bertha,Wormtail,20
25,Bertha,second,7
26,second,second,6
27,Nagini,Wormtail,18
28,Frank,two,4
29,Harry,two,357
30,Muggle,Wormtail,1
31,Muggle,Nagini,5
32,Frank,Muggle,28
33,Harry,Muggle,100
34,Peter,Wormtail,10
35,Harry,Harry,1022
36,Harry,Hedwig,168
37,Dudley,Harry,142
38,Harry,Uncle,51
39,Uncle,Vernon,68
40,Dudley,Vernon,22
41,Dudley,Uncle,28
42,Harry,Vernon,78
43,Dudley,Dudley,24
44,Harry,Hogwarts,109
45,Dark,Harry,36
46,Harry,Hermione,492
47,Hermione,Hogwarts,16
48,Dumbledore,Harry,1372
49,Dumbledore,Dumbledore,96
50,Dumbledore,Hedwig,4
51,Harry,Ron,2780
52,Harry,Weasley,842
53,Weasley,Weasley,76
54,Harry,Sirius,308
55,Sirius,Sirius,24
56,Ron,Wormtail,11
57,Dumbledore,Wormtail,34
58,Dumbledore,Ron,99
59,Sirius,Wormtail,11
60,Buckbeak,Harry,15
61,Buckbeak,Sirius,14
62,Buckbeak,Wormtail,1
63,Sirius,two,3
64,Buckbeak,Hedwig,9
65,Vernon,three,3
66,Dudley,three,5
67,Aunt,Vernon,6
68,Aunt,Petunia,17
69,Dudley,Petunia,32
70,Aunt,Dudley,4
71,Harry,Smeltings,4
72,Smeltings,Uncle,1
73,Dudley,Smeltings,6
74,Petunia,Vernon,6
75,Harry,Petunia,15
76,Hedwig,Hermione,12
77,Hermione,Hermione,15
78,Hagrid,Harry,741
79,Hagrid,Hogwarts,2
80,Hagrid,Weasley,13
81,Errol,Weasley,6
82,Errol,Errol,4
83,Errol,Harry,7
84,Ron,Sirius,67
85,Hagrid,Ron,179
86,Hagrid,Sirius,17
87,Vernon,two,9
88,Dudley,two,1
89,Petunia,Uncle,4
90,Vernon,Vernon,4
91,Dursley,Vernon,2
92,Dursley,Harry,11
93,Ron,Vernon,1
94,Arthur,Harry,63
95,Arthur,Dursley,1
96,Dursley,Ron,1
97,Arthur,Ron,1
98,Molly,Muggle,1
99,Harry,Molly,14
100,Vernon,Weasley,15
101,Ron,Weasley,153
102,Dudley,second,6
103,Dudley,one,6
104,Uncle,one,1
105,Hedwig,three,7
106,Hermione,Ron,385
107,Hermione,Percy,10
108,Harry,Percy,133
109,Hedwig,Hedwig,5
110,Hedwig,Ron,39
111,Hogwarts,Sirius,4
112,Hogwarts,Vernon,1
113,Muggle,Weasley,37
114,Vernon,second,5
115,Fred,second,7
116,Fred,George,158
117,George,Ron,114
118,George,George,15
119,Ron,Ron,219
120,Fred,Ron,87
121,George,Weasley,74
122,George,Harry,172
123,Petunia,Ron,5
124,Uncle,Weasley,13
125,Fred,Vernon,1
126,Fred,Harry,176
127,Fred,Weasley,41
128,Dudley,George,5
129,Dudley,Weasley,49
130,Aunt,Uncle,1
131,Dudley,Ron,9
132,Fred,Fred,9
133,George,second,11
134,Petunia,Weasley,1
135,Dudley,Fred,4
136,Weasley,second,16
137,George,two,16
138,Bill,Harry,149
139,Bill,Charlie,124
140,Charlie,two,17
141,Weasley,two,60
142,Charlie,Harry,88
143,Bill,two,17
144,Charlie,Charlie,9
145,Charlie,Percy,63
146,Percy,Ron,60
147,Ron,one,120
148,Bill,one,4
149,Percy,one,7
150,Charlie,Ron,12
151,Bill,Percy,23
152,Bill,Weasley,143
153,Fred,Muggle,7
154,Arthur,Weasley,67
155,Ginny,Ron,73
156,Ginny,Harry,89
157,Arthur,Ginny,6
158,Molly,Weasley,27
159,Ginny,Weasley,52
160,Ginny,Hermione,14
161,Percy,second,11
162,Ginny,Percy,17
163,Weasley,three,46
164,Ron,Scabbers,11
165,Harry,Scabbers,1
166,Ron,two,108
167,Ginny,Pigwidgeon,3
168,Harry,Pigwidgeon,5
169,Errol,Hermes,4
170,Crouch,Harry,502
171,Dumbledore,Sirius,35
172,Ginny,Sirius,5
173,Dumbledore,Ginny,1
174,Charlie,Weasley,18
175,Fred,two,8
176,Hogwarts,Weasley,5
177,Weasley,one,41
178,Hermione,Weasley,48
179,Ginny,two,16
180,Bill,Hermione,12
181,Charlie,Hermione,6
182,Charlie,one,15
183,Crouch,Percy,136
184,Percy,Weasley,76
185,Ludo,Percy,18
186,Ludo,Weasley,41
187,Otto,Weasley,4
188,Otto,Percy,4
189,Crouch,Otto,1
190,Crouch,Crouch,31
191,Bertha,Crouch,14
192,Crouch,Ludo,47
193,Bertha,Ludo,8
194,Bertha,Weasley,9
195,Bertha,Percy,2
196,Bagman,Percy,37
197,Bertha,Harry,63
198,Bagman,Crouch,93
199,Crouch,one,17
200,Bagman,one,3
201,Percy,Percy,16
202,Bill,Bill,3
203,Bill,Dumbledore,6
204,Bill,Ginny,11
205,Dumbledore,Weasley,38
206,Charlie,Viktor,4
207,Fred,Viktor,5
208,Fred,one,3
209,Viktor,one,2
210,Charlie,Fred,11
211,Crookshanks,Harry,12
212,Crookshanks,Weasley,3
213,Crookshanks,Ron,5
214,Fred,Percy,18
215,Charlie,George,10
216,Hogwarts,one,17
217,George,Ginny,12
218,Ginny,Ginny,7
219,Harry,Portkey,40
220,Portkey,Weasley,4
221,Amos,Weasley,38
222,Amos,Cedric,11
223,Cedric,Weasley,11
224,Cedric,Cedric,53
225,Arthur,Cedric,10
226,Cedric,Harry,865
227,three,two,41
228,Amos,Harry,36
229,Amos,Ron,2
230,Amos,one,6
231,Amos,Portkey,5
232,Muggle,two,4
233,one,two,18
234,Portkey,Ron,6
235,Diggory,Weasley,64
236,Cedric,Diggory,16
237,Cedric,Ron,34
238,Basil,one,3
239,Basil,Harry,7
240,Arthur,Basil,4
241,Basil,Weasley,20
242,Harry,Roberts,30
243,Roberts,second,5
244,Payne,second,6
245,Basil,Payne,5
246,Roberts,Weasley,64
247,Muggle,Roberts,5
248,Roberts,Roberts,11
249,Roberts,two,3
250,Roberts,one,8
251,Bagman,Harry,471
252,Bagman,Ginny,6
253,Ginny,Ludo,2
254,Roberts,three,9
255,Figg,Harry,8
256,Figg,Hermione,5
257,Figg,three,4
258,Figg,Weasley,3
259,Muggle,Ron,18
260,Kevin,two,6
261,Kevin,Ministry,1
262,Ron,Seamus,24
263,Dean,Seamus,74
264,Finnigan,Seamus,3
265,Finnigan,Hermione,2
266,Ron,Viktor,55
267,Hermione,Ministry,4
268,Archie,Harry,9
269,Archie,Muggle,9
270,Muggle,Muggle,6
271,Archie,Ministry,7
272,Ministry,Muggle,1
273,Archie,Archie,1
274,Archie,Oliver,3
275,Harry,Oliver,5
276,Ernie,Harry,18
277,Cho,Ernie,6
278,Ernie,Oliver,1
279,Cho,Ron,29
280,Cho,Harry,134
281,Hogwarts,Ron,32
282,Bill,Ron,40
283,Cuthbert,Weasley,4
284,Cuthbert,Gilbert,4
285,Arnie,Gilbert,3
286,Arnie,Bill,1
287,Harry,Ludo,86
288,Archie,Bagman,1
289,Arthur,Bagman,5
290,Fred,Ginny,7
291,Bagman,Weasley,15
292,Bagman,Hermione,1
293,Arthur,Roddy,4
294,Roddy,three,5
295,Agatha,three,4
296,Agatha,Weasley,2
297,Agatha,Roddy,1
298,Agatha,Ludo,2
299,Molly,three,6
300,Fred,three,9
301,Harry,Viktor,84
302,Bagman,Fred,9
303,George,three,9
304,Bagman,Viktor,4
305,Bagman,Bagman,32
306,Percy,Viktor,6
307,Arthur,Krum,2
308,Krum,Weasley,6
309,George,Ludo,10
310,Bagman,George,9
311,Bagman,Bertha,8
312,Muggle,Percy,1
313,Barty,Harry,14
314,Barty,Ludo,8
315,Crouch,Muggle,6
316,Barty,Muggle,1
317,Ludo,Ludo,7
318,Bagman,Ludo,39
319,Crouch,Weatherby,19
320,Percy,Weatherby,8
321,Arthur,Percy,5
322,Arthur,Crouch,9
323,Crouch,Weasley,14
324,Ali,Bagman,3
325,Ali,Crouch,6
326,Ali,Barty,1
327,Bagman,Barty,20
328,Barty,Crouch,15
329,Barty,Weasley,1
330,Bagman,Weatherby,4
331,Fred,Weatherby,4
332,Crouch,Fred,1
333,Harry,Weatherby,3
334,Krum,Viktor,32
335,Krum,Ron,92
336,Hermione,Viktor,11
337,Harry,Krum,387
338,Irish,Weasley,17
339,Charlie,Ginny,22
340,Bagman,Irish,20
341,Dobby,second,12
342,Dobby,Harry,477
343,Harry,Malfoy,236
344,Dobby,Malfoy,9
345,Dobby,Dobby,72
346,Dobby,Ron,50
347,Dobby,Hermione,11
348,Dobby,Weasley,16
349,Harry,Winky,216
350,Dobby,Winky,130
351,Ron,Winky,30
352,Cornelius,Percy,9
353,Cornelius,Harry,27
354,Fudge,Percy,3
355,Fudge,Harry,133
356,Hermione,second,9
357,second,three,14
358,Dobby,Lucius,6
359,Draco,Lucius,2
360,Draco,Harry,49
361,Harry,Lucius,19
362,Draco,Hogwarts,10
363,Draco,Malfoy,6
364,Hogwarts,Lucius,1
365,Malfoy,Narcissa,4
366,Draco,Narcissa,5
367,Draco,Fudge,3
368,Fudge,Malfoy,15
369,Malfoy,Weasley,45
370,Arthur,Fudge,9
371,Fudge,Lucius,5
372,Arthur,Lucius,7
373,Arthur,Malfoy,1
374,Muggle,second,8
375,Malfoy,second,8
376,Malfoy,Muggle,8
377,Draco,Weasley,9
378,Draco,Hermione,6
379,Hermione,one,13
380,Ludo,Ron,7
381,Fudge,Ludo,6
382,two,two,5
383,Dimitrov,Harry,10
384,Dimitrov,Ivanova,3
385,Ivanova,second,4
386,Volkov,second,1
387,Ron,Volkov,4
388,Bagman,Troy,7
389,Moran,Troy,9
390,Moran,Quigley,4
391,Harry,Quigley,7
392,Harry,Hassan,15
393,Bagman,two,30
394,Harry,Troy,14
395,Dimitrov,Moran,4
396,Moran,Mullet,8
397,Dimitrov,Troy,1
398,Dimitrov,Mullet,3
399,Mullet,Troy,12
400,Levski,Troy,5
401,Levski,Moran,10
402,Harry,Moran,16
403,Harry,Levski,10
404,Bagman,Moran,1
405,Troy,three,5
406,Mullet,three,1
407,Moran,Volkov,10
408,Bagman,Levski,7
409,Harry,Volkov,2
410,Moran,Moran,7
411,Harry,Mullet,9
412,Moran,Vulchanov,3
413,Harry,Vulchanov,1
414,Harry,Ivanova,6
415,Ivanova,Weasley,5
416,Volkov,Vulchanov,17
417,Ivanova,Vulchanov,4
418,Bagman,Dimitrov,4
419,Krum,two,9
420,Harry,Irish,34
421,Charlie,Krum,4
422,Ginny,Krum,2
423,Mullet,Zograf,6
424,Harry,Zograf,5
425,Bagman,Mullet,4
426,Mullet,Weasley,4
427,Hassan,Hermione,1
428,Hassan,Ludo,1
429,Bagman,Volkov,6
430,Vulchanov,two,5
431,Bagman,Vulchanov,1
432,Troy,Vulchanov,2
433,Troy,Volkov,6
434,Irish,Vulchanov,3
435,Irish,Moran,6
436,Ivanova,Moran,5
437,Irish,Ministry,5
438,Irish,Levski,1
439,Dimitrov,Levski,5
440,Irish,Krum,19
441,Levski,Ministry,4
442,Krum,Krum,33
443,Hassan,Krum,6
444,Dimitrov,Irish,1
445,Krum,one,4
446,Hassan,one,2
447,Charlie,second,4
448,Irish,Irish,1
449,Fudge,Irish,3
450,Cornelius,two,5
451,Bagman,Cornelius,13
452,Bagman,Fudge,5
453,Aidan,Irish,5
454,Aidan,Connolly,1
455,Connolly,second,3
456,Aidan,Moran,5
457,Moran,second,2
458,Troy,second,4
459,Quigley,Troy,5
460,Connolly,Moran,3
461,Connolly,Troy,1
462,Connolly,Irish,3
463,Bagman,Connolly,4
464,Connolly,Harry,1
465,Irish,Ron,1
466,one,three,38
467,Ron,three,47
468,Ginny,Muggle,4
469,Roberts,Ron,3
470,Fred,Roberts,2
471,Ginny,Roberts,1
472,Ministry,Roberts,10
473,George,Roberts,2
474,George,Ministry,2
475,Malfoy,Ron,83
476,Granger,Malfoy,22
477,Granger,Ron,3
478,Malfoy,Ministry,2
479,Ministry,Ron,8
480,Ginny,Ministry,1
481,Winky,three,9
482,Crouch,Ron,89
483,Ginny,three,4
484,Harry,Stan,3
485,Ron,Stan,5
486,Ron,second,50
487,Bagman,Ron,40
488,Krum,three,11
489,Hermione,Krum,40
490,Hermione,Lucius,1
491,Lucius,Ron,5
492,Draco,Ron,16
493,Draco,Krum,1
494,three,twenty,2
495,Harry,twenty,20
496,one,twenty,1
497,twenty,two,5
498,Crouch,Ministry,5
499,Barty,Ron,4
500,Barty,Mark,6
501,Mark,three,5
502,Mark,Weasley,14
503,Crouch,three,18
504,Crouch,Mark,7
505,Mark,Ministry,5
506,Amos,Hermione,1
507,Crouch,Diggory,43
508,Diggory,Harry,131
509,Diggory,Winky,38
510,Crouch,Winky,102
511,Amos,Diggory,18
512,Diggory,three,2
513,Weasley,Winky,14
514,Barty,Winky,1
515,Bagman,Winky,21
516,Ludo,Winky,14
517,Diggory,Ludo,9
518,Diggory,Diggory,5
519,Winky,Winky,37
520,Diggory,Dobby,2
521,Diggory,Mark,6
522,Harry,Mark,23
523,Ministry,Winky,9
524,Diggory,Ron,19
525,Diggory,two,7
526,Winky,two,8
527,Amos,Crouch,20
528,Crouch,two,17
529,Amos,two,1
530,Mark,two,2
531,Amos,Winky,3
532,Hermione,Winky,20
533,Diggory,Hermione,4
534,Bill,Mark,9
535,Bill,Molly,2
536,Percy,Rita,9
537,Ministry,Weasley,8
538,Ministry,Percy,6
539,Arthur,Molly,7
540,Hedwig,Weasley,1
541,Albus,Harry,61
542,Albus,Ron,2
543,Harry,Peter,4
544,Bill,three,4
545,three,three,7
546,Charlie,three,1
547,Bill,George,8
548,Rita,Weasley,18
549,Ministry,Rita,4
550,Bill,Ministry,7
551,Rita,Ron,63
552,Bill,Rita,1
553,Arthur,second,5
554,Rita,Winky,4
555,Percy,Winky,1
556,Mark,Percy,5
557,Mark,Winky,3
558,Crouch,Hermione,7
559,Hedwig,Sirius,19
560,Arthur,Arthur,3
561,Diggory,Rita,5
562,Arthur,Rita,3
563,Arthur,Mad-Eye,11
564,Mad-Eye,Rita,7
565,Mad-Eye,Weasley,22
566,Diggory,Mad-Eye,6
567,Diggory,one,4
568,Harry,Mad-Eye,42
569,Arthur,Diggory,1
570,Diggory,Molly,1
571,Amos,Mad-Eye,3
572,Amos,Arthur,1
573,Bill,Mad-Eye,4
574,Charlie,Mad-Eye,2
575,Mad-Eye,Mad-Eye,3
576,Charlie,Dark,3
577,Muggle,three,4
578,Percy,three,2
579,Arthur,three,2
580,Arthur,Muggle,2
581,Hermione,Muggle,9
582,Fred,Hermione,19
583,Dumbledore,George,14
584,Dumbledore,Fred,12
585,Bill,Fred,1
586,Pigwidgeon,Ron,20
587,Bagman,Hogwarts,4
588,Hogwarts,Pigwidgeon,1
589,Bagman,Pigwidgeon,3
590,Dumbledore,Malfoy,8
591,Hogwarts,Muggle,5
592,Harry,Seamus,52
593,Dean,Harry,52
594,Dean,Neville,21
595,Harry,Neville,170
596,Neville,Seamus,15
597,Neville,Ron,76
598,Neville,Viktor,9
599,Neville,Weasley,1
600,Dean,Weasley,1
601,Dean,Draco,3
602,Dean,Malfoy,2
