,source,target,value
0,Harry,Vernon,80
1,Petunia,Vernon,12
2,Aunt,Vernon,5
3,Aunt,Petunia,40
4,Harry,Petunia,67
5,Dudley,Vernon,21
6,Figg,Harry,102
7,Harry,Harry,1009
8,Figg,Vernon,4
9,Dudley,Harry,402
10,Dudley,Dudley,23
11,Harry,Uncle,50
12,Uncle,Vernon,34
13,Bungy,Harry,3
14,Harry,Mary,4
15,Bungy,Petunia,2
16,Bungy,Mary,3
17,Harry,two,358
18,Vernon,two,5
19,two,two,18
20,Aunt,Harry,19
21,Dobby,Harry,209
22,Dobby,Dobby,24
23,Aunt,Dobby,1
24,Harry,Ron,3122
25,Harry,Hermione,684
26,Hermione,Ron,414
27,Cedric,Harry,120
28,Hermione,Sirius,51
29,Harry,Sirius,613
30,Dudley,one,23
31,Cedric,one,6
32,Cedric,Ron,9
33,Dumbledore,Ron,213
34,Dudley,Sirius,6
35,Harry,Malcolm,5
36,Dudley,Malcolm,2
37,Gordon,Malcolm,1
38,Dudley,Gordon,6
39,Harry,Mark,2
40,Dudley,Mark,5
41,Harry,one,443
42,Cedric,Dudley,11
43,Cedric,Cedric,11
44,Harry,second,255
45,second,two,10
46,Dudley,two,18
47,Dudley,second,10
48,Harry,Mundungus,6
49,Dumbledore,Harry,1268
50,Dudley,Dumbledore,12
51,Dumbledore,Dumbledore,123
52,Figg,one,3
53,Dudley,Figg,12
54,Dumbledore,Prentice,5
55,Dudley,Prentice,4
56,Dumbledore,Figg,34
57,Figg,Petunia,2
58,Polkiss,Vernon,2
59,Harry,Polkiss,3
60,Dudley,Petunia,13
61,Harry,Muggle,55
62,Mafalda,Muggle,1
63,Harry,Mafalda,13
64,Uncle,one,3
65,Arthur,second,18
66,Arthur,Dumbledore,20
67,Dumbledore,Hogwarts,42
68,Harry,Hogwarts,124
69,Harry,Weasley,1015
70,Dumbledore,Weasley,105
71,Petunia,second,1
72,Ron,second,50
73,Dudley,Uncle,4
74,Harry,three,264
75,Ron,Sirius,91
76,Sirius,Uncle,3
77,Dudley,three,2
78,three,two,67
79,Figg,Sirius,1
80,Dumbledore,Sirius,104
81,Sirius,second,9
82,Dumbledore,second,37
83,Arthur,Harry,73
84,Weasley,two,37
85,Sirius,Weasley,108
86,Figg,two,11
87,Albus,Figg,4
88,Petunia,two,3
89,Albus,two,2
90,Albus,Harry,31
91,Sirius,three,16
92,Hedwig,Hermione,15
93,Hogwarts,three,3
94,Harry,Hedwig,211
95,Hedwig,three,9
96,Ron,three,101
97,Hedwig,Ron,44
98,Hermione,three,48
99,Hedwig,Sirius,1
100,Hedwig,one,24
101,Vernon,one,3
102,Harry,Lupin,482
103,Lupin,Lupin,13
104,Harry,Remus,13
105,Harry,James,95
106,James,Remus,4
107,Lupin,Mad-Eye,23
108,Harry,Mad-Eye,78
109,Lupin,Muggle,11
110,Lupin,Vernon,3
111,Harry,Nymphadora,7
112,Nymphadora,Remus,9
113,Lupin,Remus,14
114,Lupin,Nymphadora,1
115,Nymphadora,Nymphadora,2
116,Harry,Kingsley,78
117,Kingsley,Lupin,27
118,Hestia,Kingsley,4
119,Harry,Hestia,6
120,Harry,Tonks,32
121,Lupin,Tonks,9
122,Dedalus,Lupin,5
123,Dedalus,Harry,7
124,Lupin,three,4
125,Lupin,Portkey,3
126,Portkey,Remus,4
127,Hedwig,Muggle,5
128,Hogwarts,Kingsley,2
129,Harry,Sturgis,26
130,Hestia,Sturgis,6
131,Kingsley,Sturgis,5
132,Hestia,Lupin,4
133,Kingsley,Mad-Eye,10
134,Hedwig,Kingsley,2
135,Harry,Ministry,27
136,Ministry,Muggle,2
137,Emmeline,Kingsley,5
138,Emmeline,Sturgis,4
139,Hedwig,Lupin,4
140,Ron,Weasley,215
141,Lupin,Weasley,87
142,Weasley,second,47
143,Pigwidgeon,Ron,27
144,Harry,Pigwidgeon,24
145,Dumbledore,Hermione,30
146,Hermione,two,49
147,Ron,two,143
148,Dumbledore,Hedwig,1
149,Ron,one,145
150,one,two,44
151,George,Ron,173
152,Fred,Ron,167
153,Fred,George,324
154,George,Harry,256
155,Fred,Harry,287
156,Fred,two,21
157,Fred,one,18
158,Ginny,Ron,290
159,Ginny,Harry,414
160,George,Ginny,27
161,Fred,Ginny,28
162,Fred,Snape,4
163,Snape,Snape,110
164,Harry,Snape,1040
165,George,one,24
166,Bill,Ron,18
167,Bill,Ginny,10
168,Bill,Harry,28
169,Bill,Fred,19
170,Fleur,Fred,5
171,Fleur,George,6
172,Bill,George,9
173,Charlie,George,6
174,Charlie,Harry,3
175,Charlie,Weasley,5
176,Percy,Weasley,15
177,Harry,Percy,96
178,Percy,Ron,48
179,Fred,Percy,8
180,Ginny,Percy,3
181,Crouch,Percy,26
182,Percy,Percy,7
183,Crouch,George,6
184,George,Percy,15
185,Crouch,Crouch,1
186,Crouch,Harry,3
187,Fudge,Harry,203
188,Fudge,George,12
189,Dumbledore,Fudge,249
190,Dumbledore,Fred,22
191,Dumbledore,George,28
192,Fred,Fudge,3
193,Dumbledore,Muggle,9
194,Muggle,Percy,7
195,Fudge,Percy,25
196,Dumbledore,Percy,7
197,Fudge,Muggle,19
198,Ministry,Ron,5
199,Dumbledore,Ministry,33
200,Harry,Rita,69
201,George,Weasley,65
202,Ginny,Weasley,78
203,Kreacher,Weasley,29
204,Ginny,Kreacher,7
205,Ginny,Ginny,29
206,Ron,Ron,265
207,Dumbledore,Kreacher,46
208,Kreacher,Ron,50
209,Ron,Snape,80
210,Weasley,Weasley,118
211,Bill,Weasley,56
212,Bill,Mad-Eye,9
213,Mad-Eye,Weasley,27
214,Bill,Bill,7
215,Molly,Weasley,65
216,Harry,Molly,51
217,Ginny,Molly,13
218,Harry,Wormtail,24
219,Dumbledore,Wormtail,4
220,Dumbledore,Snape,91
221,George,second,18
222,George,Sirius,7
223,Fred,Weasley,83
224,Bill,Charlie,3
225,Bill,Percy,7
226,Charlie,Percy,4
227,Molly,Percy,1
228,Lupin,Molly,30
229,Bill,Molly,10
230,Lupin,Sirius,77
231,Alastor,Sirius,9
232,Alastor,Weasley,7
233,Alastor,Harry,3
234,Ginny,Snape,4
235,Hermione,Snape,46
236,Ginny,Hermione,80
237,Dudley,Ginny,1
238,Dudley,Weasley,9
239,Bill,Lupin,14
240,Lupin,Ragnok,4
241,Bill,Ragnok,5
242,Bagman,Bill,4
243,Bagman,Ministry,5
244,Bill,Ministry,3
245,Molly,Ron,5
246,Harry,Warty,4
247,Warty,Weasley,4
248,George,Warty,1
249,Dumbledore,one,49
250,Molly,Sirius,5
251,Muggle,Sirius,2
252,George,Muggle,3
253,Weasley,three,11
254,Ginny,Lupin,12
255,Arthur,Sirius,2
256,Arthur,Weasley,113
257,George,Molly,4
258,Hermione,Weasley,33
259,Black,Weasley,13
260,Black,Ginny,4
261,Black,Lupin,5
262,Dumbledore,Lupin,48
263,Bill,Dumbledore,11
264,Lupin,one,7
265,Bill,Cornelius,3
266,Cornelius,Harry,33
267,Fudge,Weasley,39
268,Millicent,Weasley,5
269,Fudge,Millicent,4
270,Dumbledore,Millicent,1
271,Lupin,Ministry,7
272,Fudge,Ministry,10
273,Fudge,Lupin,4
274,Bill,Tonks,5
275,Ministry,Tonks,1
276,Ministry,Sirius,12
277,Sirius,Tonks,1
278,Arthur,Lupin,7
279,Sirius,Sirius,29
280,Fred,Hermione,54
281,Fred,second,18
282,Lupin,Ron,18
283,Pigwidgeon,Weasley,3
284,Hedwig,Weasley,7
285,Hedwig,Pigwidgeon,15
286,Hagrid,Weasley,5
287,Hagrid,Harry,639
288,George,Hagrid,1
289,Kreacher,Kreacher,48
290,Hermione,Kreacher,13
291,Buckbeak,Hermione,5
292,Buckbeak,Harry,37
293,Buckbeak,Kreacher,6
294,Hestia,Weasley,2
295,Dumbledore,Hestia,5
296,Weasley,one,63
297,Fred,Fred,18
298,George,two,24
299,George,George,15
300,Crookshanks,Weasley,10
301,Black,George,4
302,Black,Kingsley,6
303,Black,Sirius,3
304,Kingsley,Sirius,6
305,George,Kingsley,2
306,Harry,Kreacher,182
307,Fred,Kreacher,23
308,Kreacher,second,5
309,George,Kreacher,16
310,Kreacher,Sirius,108
311,Harry,Regulus,3
312,Regulus,Weasley,2
313,Araminta,Bill,4
314,Bill,Kreacher,2
315,Andromeda,Harry,12
316,Andromeda,Sirius,9
317,Andromeda,two,4
318,Bellatrix,two,9
319,Bellatrix,Narcissa,9
320,Sirius,two,25
321,Narcissa,two,1
322,Muggle,Narcissa,2
323,Muggle,Ted,6
324,Andromeda,Narcissa,3
325,Andromeda,Muggle,4
326,Harry,Ted,5
327,Draco,Harry,45
328,Andromeda,Draco,4
329,Draco,second,1
330,Arthur,Draco,1
331,Harry,Rodolphus,11
332,Andromeda,second,2
333,Andromeda,Rodolphus,4
334,Rabastan,Rodolphus,5
335,Harry,Rabastan,4
336,Ginny,Sirius,22
337,Sirius,Snape,131
338,Harry,McGonagall,377
339,McGonagall,Muggle,11
340,Arthur,Ginny,17
341,Hogwarts,Ron,30
342,Hogwarts,Kreacher,1
343,Kreacher,Lupin,12
344,Tonks,Weasley,3
345,Kingsley,Weasley,33
346,Amelia,Lupin,3
347,Amelia,Weasley,1
348,Amelia,Harry,3
349,Muggle,Weasley,41
350,Muggle,second,11
351,Ministry,Weasley,6
352,Hogwarts,Weasley,16
353,Eric,Harry,13
354,Eric,Weasley,5
355,Arthur,one,2
356,Bob,Weasley,10
357,Arthur,Bob,1
358,British,Harry,8
359,British,one,1
360,British,Weasley,3
361,British,two,5
362,Bill,Kingsley,3
363,Kingsley,second,10
364,second,second,5
365,Sirius,one,29
366,Kingsley,one,3
367,Black,Muggle,4
368,Black,Harry,18
369,Kingsley,Muggle,1
370,Muggle,two,10
371,Harry,Perkins,13
372,Kingsley,Perkins,1
373,Perkins,Weasley,2
