,source,target,value
0,Harry,one,391
1,Harry,two,362
2,two,two,12
3,one,two,41
4,Harry,second,169
5,Fudge,Harry,100
6,Cornelius,Harry,19
7,Cornelius,Fudge,3
8,Bones,Harry,1
9,Bones,Fudge,4
10,Fudge,two,9
11,Fudge,Muggle,8
12,Harry,Muggle,81
13,Fudge,one,16
14,Fudge,Mark,9
15,Fudge,three,8
16,Harry,Mark,43
17,three,three,6
18,Dumbledore,Fudge,33
19,Fudge,Sirius,4
20,Merlin,Sirius,2
21,Fudge,Fudge,4
22,Emmeline,Fudge,4
23,Fudge,Rufus,7
24,Rufus,second,6
25,Fudge,second,3
26,Harry,Rufus,51
27,Harry,Kingsley,12
28,Herbert,Shacklebolt,3
29,Harry,three,160
30,Muggle,three,2
31,Muggle,Narcissa,1
32,Harry,Narcissa,42
33,Narcissa,second,11
34,Narcissa,two,5
35,second,two,19
36,Narcissa,Severus,13
37,Harry,Severus,31
38,Harry,Snape,935
39,Narcissa,Snape,66
40,Snape,two,35
41,Wormtail,two,1
42,Harry,Wormtail,16
43,Snape,Wormtail,32
44,Narcissa,Wormtail,3
45,Snape,Snape,98
46,Wormtail,second,5
47,Wormtail,three,1
48,second,three,3
49,Snape,three,18
50,Bellatrix,two,3
51,Bellatrix,Snape,71
52,three,two,38
53,Severus,second,5
54,Severus,Snape,36
55,Severus,Wormtail,1
56,Bellatrix,Harry,43
57,Bellatrix,Narcissa,29
58,Bellatrix,Bellatrix,6
59,Dumbledore,Snape,240
60,Bellatrix,one,2
61,Albus,Snape,5
62,Avery,Snape,4
63,Avery,Yaxley,6
64,Lucius,Yaxley,5
65,Lucius,Narcissa,10
66,Narcissa,Yaxley,1
67,Harry,Lucius,40
68,Dumbledore,Harry,3256
69,Bellatrix,Dumbledore,29
70,Dumbledore,Dumbledore,188
71,Lucius,Snape,8
72,Bellatrix,Lucius,3
73,Bellatrix,Emmeline,1
74,Emmeline,Sirius,5
75,Dark,Harry,24
76,Harry,Hogwarts,92
77,Dumbledore,Severus,21
78,Narcissa,Narcissa,1
79,Bellatrix,Severus,4
80,Draco,Severus,19
81,Bellatrix,Draco,11
82,Draco,Snape,72
83,Lucius,Severus,2
84,Draco,Lucius,13
85,Lucius,Lucius,5
86,Draco,Narcissa,24
87,Draco,Draco,4
88,Snape,second,10
89,Draco,second,9
90,Draco,Harry,127
91,Harry,Harry,1047
92,Ministry,one,5
93,Harry,Ministry,46
94,one,second,3
95,Cornelius,Rufus,5
96,Albus,Cornelius,2
97,Albus,Rufus,4
98,Albus,Dumbledore,31
99,Cornelius,Dumbledore,5
100,Ministry,Rufus,4
101,Albus,Ministry,1
102,Ministry,Neville,3
103,Harry,Neville,207
104,Albus,Harry,33
105,Dumbledore,Hedwig,14
106,Harry,Hedwig,18
107,Vernon,two,1
