,source,target,value
0,second,two,23
1,Severus,two,7
2,Severus,Yaxley,2
3,Harry,Yaxley,85
4,Harry,Snape,605
5,Lucius,Yaxley,6
6,Snape,Yaxley,37
7,Yaxley,Yaxley,9
8,Yaxley,two,5
9,Harry,two,478
10,Snape,two,33
11,Severus,Snape,68
12,Harry,Harry,1075
13,Snape,Snape,34
14,Yaxley,one,21
15,Snape,one,37
16,Pius,Yaxley,8
17,Ministry,one,6
18,Ministry,Yaxley,7
19,Ministry,Snape,2
20,Harry,Ministry,67
21,Harry,Wormtail,61
22,Harry,one,371
23,Lucius,one,5
24,Lucius,Malfoy,11
25,Harry,Malfoy,87
26,Lucius,two,6
27,Harry,Lucius,79
28,Draco,Lucius,36
29,Draco,Narcissa,46
30,Bellatrix,Narcissa,20
31,Bellatrix,Bellatrix,15
32,Bellatrix,Harry,194
33,Bellatrix,Lucius,29
34,Lucius,Narcissa,22
35,Lucius,Remus,1
36,Narcissa,Remus,4
37,Bellatrix,Remus,5
38,Bellatrix,Draco,22
39,Draco,Harry,138
40,Charity,Draco,3
41,Draco,Draco,10
42,Malfoy,Snape,11
43,Charity,Snape,6
44,Draco,Nagini,5
45,Harry,Nagini,79
46,Dudley,Harry,165
47,Harry,Sirius,75
48,Harry,Muggle,114
49,Hagrid,Muggle,6
50,Hagrid,Hedwig,8
51,Harry,Hedwig,49
52,Hedwig,one,5
53,Charity,Harry,2
54,Charity,one,3
55,Charity,Elphias,2
56,Albus,Elphias,14
57,Elphias,one,1
58,Albus,Albus,15
59,Albus,three,9
60,Albus,Percival,8
61,Percival,three,5
62,Dumbledore,three,29
63,Albus,Dumbledore,51
64,Dumbledore,Harry,1469
65,Albus,Muggle,13
66,Albus,Harry,171
67,Bathilda,Muggle,4
68,Adalbert,Bathilda,4
69,Muggle,Nicolas,2
70,Adalbert,Nicolas,1
71,Bathilda,Nicolas,4
72,Bathilda,Dumbledore,56
73,Adalbert,Dumbledore,3
74,Aberforth,Albus,97
75,Dumbledore,Hogwarts,21
76,Aberforth,Hogwarts,12
77,Aberforth,Aberforth,13
78,Albus,Hogwarts,4
79,Albus,two,17
80,Aberforth,two,7
81,Aberforth,Harry,180
82,Harry,Kendra,22
83,Albus,Kendra,26
84,Kendra,Kendra,3
85,Albus,Ariana,47
86,Ariana,Ariana,15
87,Ariana,one,19
88,Ariana,Harry,70
89,Albus,one,10
90,Aberforth,Ariana,20
91,Ariana,Dumbledore,39
92,Dumbledore,Dumbledore,116
93,Dumbledore,two,52
94,Dumbledore,Hermione,62
95,Harry,Hermione,999
96,Dumbledore,Rita,58
97,Harry,Rita,53
98,Betty,Rita,4
99,Betty,Harry,6
100,Dumbledore,second,21
101,Elphias,second,3
102,Elphias,Harry,17
103,Betty,Dumbledore,6
104,Aberforth,Dumbledore,21
105,Aberforth,Muggle,4
106,Dumbledore,Muggle,15
107,Dumbledore,Ivor,9
108,one,one,26
109,Harry,Severus,69
110,Dumbledore,Severus,65
111,Petunia,Rita,1
112,Harry,Petunia,48
113,Albus,Petunia,2
114,Harry,second,229
115,Harry,Vernon,71
116,Harry,three,264
117,Dudley,three,3
118,Harry,Uncle,4
119,Dudley,Uncle,4
120,Dudley,Vernon,20
121,Petunia,Vernon,5
122,Dudley,Petunia,14
123,Uncle,Vernon,7
124,Dumbledore,Kingsley,8
125,Kingsley,Weasley,25
126,Vernon,Weasley,6
127,Harry,Weasley,385
128,Arthur,two,8
129,Arthur,Harry,46
130,Uncle,Weasley,6
131,Dumbledore,Weasley,16
132,Arthur,Weasley,32
133,Kingsley,Uncle,1
134,Kingsley,Vernon,5
135,Harry,Kingsley,94
136,Kingsley,Ministry,6
137,Ministry,Vernon,3
138,Kingsley,Kingsley,6
139,Kingsley,Muggle,24
140,Harry,Hestia,40
141,Dedalus,Hestia,19
142,Dedalus,Harry,45
143,Hestia,Kingsley,2
144,Vernon,two,4
145,Hagrid,Vernon,1
146,Hagrid,Harry,449
147,Hagrid,Petunia,5
148,Dedalus,Dudley,3
149,Dedalus,Vernon,5
150,Hestia,Vernon,5
151,Hestia,Mad-Eye,10
152,Harry,Mad-Eye,100
153,Dedalus,Mad-Eye,2
154,Dedalus,Dedalus,3
155,Dudley,Grawp,3
156,Grawp,Harry,22
157,Aunt,Grawp,2
158,Aunt,Petunia,9
159,Aunt,Harry,1
160,Aunt,Dudley,3
161,Dudley,Hestia,11
162,Dudley,one,5
163,Hestia,Petunia,2
164,Dudley,Dudley,3
165,Aunt,Hestia,5
166,Dudley,Hedwig,4
167,Dudley,Dumbledore,8
168,Hedwig,Hedwig,1
169,Hedwig,two,6
170,Hagrid,one,16
171,Hagrid,two,34
172,Ron,two,148
173,Harry,Ron,3451
174,Hagrid,Ron,45
175,Mad-Eye,two,16
176,Bill,Ron,75
177,Bill,Harry,257
178,Tonks,Weasley,5
179,Lupin,Tonks,12
180,Fleur,Lupin,31
181,Fleur,Kingsley,16
182,Hagrid,Kingsley,21
183,Hagrid,Mundungus,6
184,Mad-Eye,Weasley,18
185,Mad-Eye,Tonks,5
186,Harry,Mundungus,6
187,Fleur,Tonks,3
188,Harry,Lupin,457
189,Harry,Portkey,13
190,Mad-Eye,Portkey,1
191,Kingsley,one,2
192,Kingsley,Molly,6
193,Harry,Molly,30
194,Fred,one,6
195,Fred,Harry,123
196,Goyle,Harry,58
197,Goyle,Ron,30
198,Fleur,Ron,42
199,Fleur,one,17
200,Lupin,one,17
201,Fleur,Hagrid,6
202,Hagrid,Lupin,24
203,Fleur,Harry,153
204,Dumbledore,Fleur,9
205,Dumbledore,Ron,210
206,Ron,Ron,171
207,Fred,Ron,41
